600,,,,,,,
2500,,,,,,,
4200,,,,,,,
9700,,,,,,,
,,,,,,,
,,,,,,,

Weapon:,Variable:,Comments:,,Per-Level Data:,,,
,,,1,2,3,4,5
WPN_WRENCH,,Given at game start,,,,,
,NameTag,,ITEM_WEAPON_RATCHET_MELEE,,,,
,UpgradeNameTag,,ITEM_WEAPON_RATCHET_MELEE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_RATCHET_MELEE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_RATCHET_MELEE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,HelpTag,,,,,,
,Damage,Constant damage,3.2,,,,
,AltDamage,throw damage,5,,,,
,Knockback,,2,,,,
,IdealRange,Grapple range,32,,,,
,AOE,Radius of smash damage on ground,1,,,,
,Misc,smash damage,10,,,,
,AutoAim,,2.5,,,,

WPN_CLANK_FU,,Given at game start,,,,,
,NameTag,,ITEM_WEAPON_CLANK_MELEE,,,,
,UpgradeNameTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_CLANK_MELEE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,HelpTag,,,,,,
,Damage,Constant damage,3.2,,,,
,AltDamage,throw damage,5,,,,
,Knockback,,2,,,,
,IdealRange,Grapple range,32,,,,
,AOE,Radius of smash damage on ground,1,,,,
,Misc,smash damage,10,,,,
,AutoAim,,2.5,,,,

WPN_MELEE_ALPHA_CLANK,,Given at game start,,,,,
,NameTag,,ITEM_WEAPON_CLANK_MELEE,,,,
,UpgradeNameTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_CLANK_MELEE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,HelpTag,,,,,,
,Damage,Constant damage,3.2,,,,
,AltDamage,throw damage,5,,,,
,Knockback,,2,,,,
,IdealRange,Grapple range,32,,,,
,AOE,Radius of smash damage on ground,1,,,,
,Misc,smash damage,10,,,,
,AutoAim,,2.5,,,,

WPN_WILD_STALLIONS,,Given at game start,,,,,
,NameTag,,ITEM_WEAPON_QWARK_MELEE,,,,
,UpgradeNameTag,,ITEM_WEAPON_QWARK_MELEE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_QWARK_MELEE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_QWARK_MELEE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,HelpTag,,,,,,
,Damage,Constant damage,3.2,,,,
,AltDamage,throw damage,5,,,,
,Knockback,,2,,,,
,IdealRange,Grapple range,32,,,,
,AOE,Radius of smash damage on ground,1,,,,
,Misc,smash damage,10,,,,
,AutoAim,,2.5,,,,

WPN_ROCKET_LAUNCHER,,,,,,,
,NameTag,,ITEM_WEAPON_ROCKET_LAUNCHER,,,,
,UpgradeNameTag,,ITEM_WEAPON_ROCKET_LAUNCHER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_ROCKET_LAUNCHER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_ROCKET_LAUNCHER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,damage done by each rocket to enemies that they don't directly hit - but if multiple rockets hit the same target within a few frames damage is only counted once,10.0,14,18,22.0,25.0
,AltDamage,damage done by each rocket to enemies that they directly hit - but if multiple rockets hit the same target within a few frames damage is only counted once --- This damage does NOT stack with the regular Damage,20.0,24,28,30.0,35.0
,Knockback,,3,3,3,4,4
,AutoAim,,1,1,1,1,1
,RateOfFire,,0.75,0.75,0.75,1,1
,AOE,,6,6,10,10,10
,MaxAmmo,,5,6,10,10,10
,CrateAmmo,,5,6,10,10,10
,MaxRange,,100,100,100,100,100
,IdealRange,,20,20,20,20,20
,RotationJoint,,3,3,3,3,3
,XP,,0.0,4050.0,14178.0,25000.0,40000.0
,SpawnChance,,3.0,3.0,3.0,3.0,3.0
,,,,,,,
,,,,,,,
,,,,,,,
WPN_COMBUSTER,,,,,,,
,NameTag,,ITEM_WEAPON_COMBUSTER,,,,
,UpgradeNameTag,,ITEM_WEAPON_COMBUSTER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_COMBUSTER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_COMBUSTER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Direct impact damage,1.5,1.75,1.75,2,3
,IdealRange,,20,20,20,20,20
,MaxRange,,75,75,75,75,75
,Knockback,Direct impact knockback,1,1,1,1,1
,AutoAim,,1,1,1,1,1
,RateOfFire,shots per second,4,7,10,15,20
,MaxAmmo,,40,50,60,70,80
,CrateAmmo,,40,50,60,70,80
,RotationJoint,,2,2,2,2,2
,XP,,0.0,594.0,3000.0,9000.0,15000.0
,SpawnChance,,1.5,1.5,1.5,1.5,1.5
,,,,,,,
,,,,,,,
WPN_TIMEFIELD,,,,,,,
,NameTag,,ITEM_DEVICE_TIMEBOMB,,,,
,UpgradeNameTag,,,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_DEVICE_TIMEBOMB_DESC,,,,
,UpgradeDescTag,,,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,4,5,6,7,7
,CrateAmmo,,4,5,6,7,7
,RateOfFire,,2,2,2,2,2
,IdealRange,,20,20,20,20,20
,MaxRange,,75,75,75,75,75
,Duration,amount of time that the field lasts,6,9,12,15,15
,Misc,time field slow down percentage,0.2,0.2,0.1,0.1,0.1
,RotationJoint,,0,0,0,0,0
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
WPN_DECOY,,,,,,,
,NameTag,,ITEM_DEVICE_DOPPELBANGER,,,,
,UpgradeNameTag,,ITEM_DEVICE_DOPPELBANGER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_DEVICE_DOPPELBANGER_DESC,,,,
,UpgradeDescTag,,ITEM_DEVICE_DOPPELBANGER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,1,2,3,4,6
,CrateAmmo,,1,2,3,4,6
,MaxRange,decoy's inner shape targeting range (outer is 1.5x),20,20,20,20,20
,IdealRange,Distance decoy is shot out,6,6,6,6,6
,AutoAim,Height decoy is shot out,0.2,0.2,0.2,0.2,0.2
,Damage,decoy projectile damage,1,1.8,2.7,3.5,4
,AOE,Upgraded version projectile explosion radius,0,0,6,6,6
,AltDamage,maximum damage a decoy can do,30,54,81,105,630
,Knockback,decoy projectile knockback,0,0,1,1,1
,RateOfFire,launcher rate of fire,1,1.2,1.3,1.5,1.5
,Misc,decoy's rate of fire,0.6,0.6,0.6,0.8,1
,Duration,decoy's health,7.5,7.5,10,13,16
,SpawnCount,percentage of damage taken from enemies (use whole integers - value is out of 100),50,50,50,50,50
,RotationJoint,,2,2,2,2,2
,XP,,0.0,540.0,3645.0,7290.0,15000.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_ICE_BEAM,,,,,,,
,NameTag,,ITEM_WEAPON_FROSTRAY,,,,
,UpgradeNameTag,,ITEM_WEAPON_FROSTRAY_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_FROSTRAY_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_FROSTRAY_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,"default ""freeze hp"" damage per second for enemies that don't have a FreezeTime",5,8,12,15,20
,AltDamage,damage from max level shatter,0,0,5,5,5
,Knockback,knockback from max level shatter,0,0,2,2,2
,RateOfFire,,2,2,2,2,2
,MaxRange,,75,75,75,75,75
,IdealRange,,15,15,15,15,15
,MaxAmmo,,15,20,25,30,30
,CrateAmmo,,15,20,25,30,30
,RotationJoint,,2,2,2,2,2
,XP,,0.0,900.0,3600.0,10800.0,20000.0
,SpawnChance,,2.0,2.0,2.0,2.0,2.0
,,,,,,,
,,,,,,,
WPN_THUNDERSTRIKE,,,,,,,
,NameTag,,ITEM_WEAPON_THUNDERSMACK,,,,
,UpgradeNameTag,,ITEM_WEAPON_THUNDERSMACK_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_THUNDERSMACK_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_THUNDERSMACK_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Lightning damage,3,4,5,6,8
,AltDamage,Damage from tornados at max level,0,0,0,0,0
,AOE,Max Range of cloud to hit enemies with lightning,15,15,15,15,15
,Duration,Cloud duration (w/o being merged),15,18.3,21.7,25,30
,Misc,Turret HP,1000000,1000000,1000000,1000000,1000000
,IdealRange,,15,18.3,21.7,25,25
,MaxRange,Max Range to target other clouds,40,40,40,40,40
,Knockback,Lightning knockback,2,2,2,2,2
,AutoAim,trajectory height,2,2,2,2,2
,RateOfFire,throw rate (not lightning rate),1.25,1.25,1.25,1.25,1.25
,SpawnCount,max number of lightning strikes per cloud,1000,1000,1000,1000,1000
,MaxAmmo,,1,2,3,4,5
,CrateAmmo,,1,2,3,4,5
,RotationJoint,,2,2,2,2,2
,XP,,0.0,946.0,2835.0,6751.0,8730.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_ZURKON,,,,,,,
,NameTag,,ITEM_GADGET_MRZURKON,,,,
,UpgradeNameTag,,ITEM_GADGET_MRZURKON_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_GADGET_MRZURKON_DESC,,,,
,UpgradeDescTag,,ITEM_GADGET_MRZURKON_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Mr Zurkon damage per shot,2,4,4,5,6
,AltDamage,Mr Zurkon mini-nuke damage when destroyed,0,0,20,30,40
,Knockback,Mr Zurkon knockback per shot,0,0,0,0,0
,RateOfFire,how frequently ratchet can throw a Mr Zurkon,1,1,1,1,1
,AOE,mini-nuke AOE,0,0,10,10,10
,MaxRange,target range for Mr Zurkon,32,32,32,32,32
,Misc,rate of fire for Mr Zurkon,2,2,3,4,5
,SpawnCount,how many shots does Mr Zurkon get?,30,38,47,55,55
,Duration,HITPOINTS for Mr Zurkon,25,30,35,45,50
,MaxAmmo,,4,4,4,5,5
,CrateAmmo,,4,4,4,5,5
,RotationJoint,,4,4,4,4,4
,XP,,0.0,540.0,2700.0,5400.0,9700.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
WPN_GRENADE_LAUNCHER,,,,,,,
,NameTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER,,,,
,UpgradeNameTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,10,12,14,16,18
,CrateAmmo,,10,12,14,16,18
,MaxRange,,55,55,55,55,55
,IdealRange,Doubles as default range of lob,16,16,16,16,16
,AutoAim,Default height of lob,2,2,2,2,2
,Damage,grenade damage,10,12,14,16,18
,AltDamage,bomblet damage,0,0,2,3,4
,Knockback,grenade knockback,2,2,2,2,3
,AOE,grenade blast radius,8,8,10,10,12
,RateOfFire,,1,1,1,1,1
,RotationJoint,,2,2,2,2,2
,XP,,0.0,1800.0,5400.0,12600.0,20000.0
,SpawnChance,,3.0,3.0,3.0,3.0,3.0
,,,,,,,
,,,,,,,
WPN_FLAMETHROWER,,,,,,,
,NameTag,,ITEM_WEAPON_PYROCITER,,,,
,UpgradeNameTag,,ITEM_WEAPON_PYROCITER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PYROCITER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PYROCITER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,6,7,8,9,10
,AltDamage,damage per second to enemies caught on fire,0,1,1,2,3
,Duration,time the flame lasts for enemies caught on fire,0,0,6,6,6
,Knockback,,0,0,0,0,0
,AutoAim,,0,0,0,0,0
,RateOfFire,,10,10,10,10,10
,MaxRange,Targeting range,15,18,20,20,20
,IdealRange,Flame range,15,18,20,20,20
,MaxAmmo,1 ammo used per second,20,25,30,35,50
,CrateAmmo,,20,25,30,35,50
,Misc,speed of flame,25,25,25,25,25
,RotationJoint,,2,2,2,2,2
,XP,,0.0,324.0,945.0,2160.0,4960.0
,SpawnChance,,1.5,1.5,1.5,1.5,1.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_RYNO,,,,,,,
,NameTag,,ITEM_WEAPON_RYNO,,,,
,UpgradeNameTag,,ITEM_WEAPON_RYNO_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_RYNO_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_RYNO_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,12.0,12.0,12.0,12.0,12.0
,Knockback,,3,3,3,3,3
,AutoAim,,1,1,1,1,1
,RateOfFire,,4,4,4,4,4
,AOE,,2,2,2,2,2
,MaxAmmo,,12,12,12,12,12
,CrateAmmo,,12,12,12,12,12
,MaxRange,,50,50,50,50,50
,IdealRange,,20,20,20,20,20
,RotationJoint,,0,0,0,0,0
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
WPN_CRITTER_STRIKE,,,,,,,
,NameTag,,ITEM_WEAPON_CRITTER_STRIKE,,,,
,UpgradeNameTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_CRITTER_STRIKE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,"default ""critter hp"" damage per second for enemies that don't have a FreezeTime",6,7,8,9,10
,Knockback,,0,0,0,0,0
,RateOfFire,,10,10,10,10,10
,IdealRange,,15,15,15,15,15
,MaxRange,,55,55,55,55,55
,MaxAmmo,,30,60,60,60,60
,CrateAmmo,,30,60,60,60,60
,RotationJoint,,2,2,2,2,2
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
,,,,,,,
WPN_GROOVITRON,,,,,,,
,NameTag,,ITEM_WEAPON_GROOVITRON,,,,
,UpgradeNameTag,,ITEM_WEAPON_GROOVITRON_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_GROOVITRON_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_GROOVITRON_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Damage done by upgraded version on drop,0,0,10,10,10
,Knockback,Knockback of upgraded version on drop,0,0,2,2,2
,RateOfFire,,1,1,1,1,1
,IdealRange,,15,15,15,15,15
,MaxRange,,24,24,24,24,24
,MaxAmmo,,1,2,2,3,4
,CrateAmmo,,1,2,2,3,4
,RotationJoint,,2,2,2,2,2
,AOE,affected area radius and radius of upgraded explosion,10,10,10,10,12
,Duration,length of effect,10.0,10.0,15.0,20.0,20.0
,IdealRange,,2,,,,
,XP,,0.0,200.0,1000.0,1800.0,2600.0
,AutoAim,trajectory height,2,2,2,2,2
,SpawnChance,,0.8,0.8,0.8,0.8,0.8
,,,,,,,
WPN_PREDATOR,,,,,,,
,NameTag,,ITEM_WEAPON_PREDATOR,,,,
,UpgradeNameTag,,ITEM_WEAPON_PREDATOR_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PREDATOR_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PREDATOR_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,14,16.7,19.3,22,11
,Knockback,,2,2,2,2,2
,RateOfFire,,0.8,0.8,0.8,0.8,0.8
,IdealRange,,45,45,45,45,45
,MaxRange,,75,75,75,75,75
,MaxAmmo,,8,12,15,21,21
,CrateAmmo,,4,6,8,10,21
,RotationJoint,,2,2,2,2,2
,AOE,,10,10,10,10,10
,Duration,,10.0,10.0,10.0,10.0,10.0
,SpawnCount,,2,3,5,7,7
,XP,,0.0,1008.0,3006.0,6948.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
WPN_BUZZ_BLADES,,,,,,,
,NameTag,,ITEM_WEAPON_BUZZ_BLADES,,,,
,UpgradeNameTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_BUZZ_BLADES_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Direct impact damage,4,5,6,7,8
,IdealRange,,20,20,20,20,20
,MaxRange,,75,75,75,75,75
,Knockback,Direct impact knockback,1,1,1,1,1
,AutoAim,,1,1,1,1,1
,RateOfFire,shots per second,3,3,3,4,4
,MaxAmmo,,30,35,40,45,50
,CrateAmmo,,30,35,40,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Upgraded version explosion radius,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded version explosion damage,0,0,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,1620,5063,12150,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Max number of bounces,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_WEAPON_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeNameTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_WEAPON_SUBWOOFER_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeDescTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaDescTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoPluralNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HelpTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,3375,10125,20250,30250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damage,Minimum Damage,10.0,12,12,14,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Width of cone at max range,12.0,14.0,16.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Range,,15,18,21,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockback,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AutoAim,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RateOfFire,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MaxAmmo,,15,15,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrateAmmo,,15,15,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Delay before upgraded version does gunk damage,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded gunk damage (it stacks),0,0,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SWARMER,,,,,,,
,NameTag,,ITEM_ENEMY_SWARMER,,,,
,,,,,,,
WPN_BRAWLER,,,,,,,
,NameTag,,ITEM_ENEMY_BRAWLER,,,,
,,,,,,,
WPN_SHOOTER,,,,,,,
,NameTag,,ITEM_ENEMY_SHOOTER,,,,
,,,,,,,
WPN_BOMBER,,,,,,,
,NameTag,,ITEM_ENEMY_BOMBER,,,,
,,,,,,,
WPN_TANK,,,,,,,
,NameTag,,ITEM_ENEMY_TANK,,,,

WPN_SWINGSHOT,,,,,,,
,NameTag,,ITEM_GADGET_SWINGSHOT,,,,
,DescTag,,ITEM_GADGET_SWINGSHOT_DESC,,,,
